Frequency [Hz]	FFT(A) [dB]
4101,6	17,90
4104,5	18,20
4107,4	17,20
4110,4	16,10
4113,3	16,40
4116,2	17,90
4119,1	19,00
4122,1	19,60
4125,0	19,10
4127,9	16,80
4130,9	16,20
4133,8	17,80
4136,7	17,70
4139,6	15,90
4142,6	15,10
4145,5	15,50
4148,4	17,20
4151,4	18,20
4154,3	16,40
4157,2	17,00
4160,2	20,00
4163,1	19,00
4166,0	15,00
4168,9	16,20
4171,9	17,10
4174,8	18,40
4177,7	19,70
4180,7	19,80
4183,6	20,30
4186,5	20,80
4189,5	20,80
4192,4	20,00
4195,3	19,10
4198,2	20,20
4201,2	20,50
4204,1	19,00
4207,0	18,80
4210,0	17,70
4212,9	16,40
4215,8	15,10
4218,8	13,00
4221,7	14,00
4224,6	16,00
4227,5	18,10
4230,5	17,70
4233,4	16,50
4236,3	15,80
4239,3	14,80
4242,2	17,60
4245,1	18,90
4248,0	18,10
4251,0	17,90
4253,9	17,50
4256,8	16,10
4259,8	16,90
4262,7	17,20
4265,6	17,40
4268,6	18,50
4271,5	16,90
4274,4	14,10
4277,3	14,60
4280,3	15,30
4283,2	14,60
4286,1	14,30
4289,1	16,30
4292,0	17,40
4294,9	16,20
4297,9	14,60
4300,8	15,30
4303,7	16,50
4306,6	17,20
4309,6	16,90
4312,5	15,20
4315,4	14,00
4318,4	16,30
4321,3	17,50
4324,2	14,50
4327,1	12,50
4330,1	15,10
4333,0	15,90
4335,9	14,00
4338,9	13,40
4341,8	13,80
4344,7	14,10
4347,7	13,90
4350,6	13,30
4353,5	18,80
4356,4	21,30
4359,4	18,70
4362,3	15,00
4365,2	12,70
4368,2	11,30
4371,1	13,30
4374,0	17,20
4377,0	19,60
4379,9	20,10
4382,8	19,50
4385,7	19,50
4388,7	19,10
4391,6	18,30
4394,5	17,50
4397,5	16,10
4400,4	16,50
4403,3	18,10
4406,3	18,10
4409,2	18,10
4412,1	19,40
4415,0	20,40
4418,0	19,00
4420,9	16,50
4423,8	18,60
4426,8	20,80
4429,7	21,80
4432,6	22,10
4435,5	21,50
4438,5	21,00
4441,4	20,00
4444,3	18,50
4447,3	18,40
4450,2	18,40
4453,1	17,40
4456,1	16,40
4459,0	17,60
4461,9	20,20
4464,8	21,00
4467,8	21,30
4470,7	20,60
4473,6	19,60
4476,6	18,80
4479,5	19,10
4482,4	19,10
4485,4	18,90
4488,3	18,20
4491,2	19,10
4494,1	20,10
4497,1	19,50
4500,0	17,90
4502,9	18,40
4505,9	18,80
4508,8	18,30
4511,7	18,60
4514,6	19,40
4517,6	18,80
4520,5	17,30
4523,4	16,70
4526,4	17,10
4529,3	18,30
4532,2	19,00
4535,2	18,50
4538,1	19,40
4541,0	21,30
4543,9	21,60
4546,9	21,00
4549,8	18,40
4552,7	15,70
4555,7	15,30
4558,6	15,50
4561,5	16,90
4564,5	19,20
4567,4	20,50
4570,3	19,80
4573,2	18,30
4576,2	18,00
4579,1	17,60
4582,0	17,40
4585,0	19,10
4587,9	20,50
4590,8	19,90
4593,8	18,20
4596,7	17,50
4599,6	17,20
4602,5	15,70
4605,5	13,20
4608,4	16,30
4611,3	17,50
4614,3	17,90
4617,2	19,30
4620,1	19,10
4623,0	17,50
4626,0	16,20
4628,9	16,10
4631,8	16,20
4634,8	16,40
